Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-31-20_10:48:25, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_0~numtaskslearned=3~tasknumber=0, RandSplitCIFAR100_0, 3, 0.8320, 0.8100
10-31-20_10:48:25, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_1~numtaskslearned=3~tasknumber=1, RandSplitCIFAR100_1, 3, 0.8020, 0.7880
10-31-20_10:48:26, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_2~numtaskslearned=3~tasknumber=2, RandSplitCIFAR100_2, 3, 0.8940, 0.8900
