,ID,exp_no,seed_val,sparsity,task,epochno,train_loss,test_loss,accuracy,num_masks,seed_model
0,basis-supsup,0,0,1,0,1,1.56255,1.6664,0.246,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
1,basis-supsup,0,0,1,0,2,1.64499,1.5404,0.304,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
2,basis-supsup,0,0,1,0,3,1.582597,1.4984,0.34,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
3,basis-supsup,0,0,1,0,4,1.504944,1.4675,0.382,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
4,basis-supsup,0,0,1,0,5,1.503779,1.4217,0.38,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
5,basis-supsup,0,0,1,0,6,1.459733,1.3848,0.422,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
6,basis-supsup,0,0,1,0,7,1.547375,1.353,0.446,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
7,basis-supsup,0,0,1,0,8,1.451139,1.3369,0.444,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
8,basis-supsup,0,0,1,0,9,1.505744,1.3101,0.462,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
9,basis-supsup,0,0,1,0,10,1.363439,1.2906,0.48,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
10,basis-supsup,0,0,1,0,11,1.422939,1.2724,0.492,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
11,basis-supsup,0,0,1,0,12,1.327434,1.2757,0.498,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
12,basis-supsup,0,0,1,0,13,1.447596,1.2604,0.51,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
13,basis-supsup,0,0,1,0,14,1.313498,1.2578,0.496,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
14,basis-supsup,0,0,1,0,15,1.182602,1.2481,0.508,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
15,basis-supsup,0,0,1,0,16,1.390815,1.2468,0.5,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
16,basis-supsup,0,0,1,0,17,1.321122,1.2363,0.52,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
17,basis-supsup,0,0,1,0,18,1.356121,1.2646,0.486,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
18,basis-supsup,0,0,1,0,19,1.283149,1.2461,0.51,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
19,basis-supsup,0,0,1,0,20,1.427609,1.2463,0.498,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
20,basis-supsup,0,0,1,0,21,1.310104,1.2615,0.508,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
21,basis-supsup,0,0,1,0,22,1.329849,1.2359,0.512,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
22,basis-supsup,0,0,1,0,23,1.347286,1.2349,0.526,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
23,basis-supsup,0,0,1,0,24,1.414157,1.2251,0.532,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
24,basis-supsup,0,0,1,0,25,1.331942,1.2426,0.528,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
25,basis-supsup,0,0,1,0,26,1.280801,1.2306,0.526,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
26,basis-supsup,0,0,1,0,27,1.306581,1.2416,0.538,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
27,basis-supsup,0,0,1,0,28,1.376466,1.2498,0.522,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
28,basis-supsup,0,0,1,0,29,1.347937,1.23,0.532,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
29,basis-supsup,0,0,1,0,30,1.216455,1.2323,0.536,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
30,basis-supsup,0,0,1,0,31,1.263653,1.2368,0.544,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
31,basis-supsup,0,0,1,0,32,1.476915,1.2437,0.534,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
32,basis-supsup,0,0,1,0,33,1.331114,1.2481,0.536,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
33,basis-supsup,0,0,1,0,34,1.188007,1.2192,0.532,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
34,basis-supsup,0,0,1,0,35,1.216418,1.2198,0.534,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
35,basis-supsup,0,0,1,0,36,1.113974,1.2178,0.54,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
36,basis-supsup,0,0,1,0,37,1.35356,1.2278,0.54,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
37,basis-supsup,0,0,1,0,38,1.170769,1.2195,0.538,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
38,basis-supsup,0,0,1,0,39,1.275325,1.2159,0.55,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
39,basis-supsup,0,0,1,0,40,1.288411,1.2291,0.55,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
40,basis-supsup,0,0,1,0,41,1.190783,1.217,0.542,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
41,basis-supsup,0,0,1,0,42,1.203481,1.2125,0.54,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
42,basis-supsup,0,0,1,0,43,1.204469,1.2113,0.552,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
43,basis-supsup,0,0,1,0,44,1.332315,1.2216,0.548,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
44,basis-supsup,0,0,1,0,45,1.282576,1.2144,0.542,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
45,basis-supsup,0,0,1,0,46,1.083854,1.2207,0.546,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
46,basis-supsup,0,0,1,0,47,1.316312,1.2067,0.558,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
47,basis-supsup,0,0,1,0,48,1.284421,1.2162,0.55,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
48,basis-supsup,0,0,1,0,49,1.348029,1.2204,0.538,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
49,basis-supsup,0,0,1,0,50,1.435132,1.2228,0.544,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
50,basis-supsup,0,0,1,1,1,1.64063,1.5051,0.318,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
51,basis-supsup,0,0,1,1,2,1.420034,1.3503,0.398,7,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_7/id=supsup~seed=0~sparsity=1~try=0//final.pt
