Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_22:25:54, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_0~numtaskslearned=7~tasknumber=0, RandSplitCIFAR100_0, 7, 0.8000, 0.8060
11-03-20_22:25:54, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_1~numtaskslearned=7~tasknumber=1, RandSplitCIFAR100_1, 7, 0.7780, 0.7820
11-03-20_22:25:54, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_2~numtaskslearned=7~tasknumber=2, RandSplitCIFAR100_2, 7, 0.8800, 0.8780
11-03-20_22:25:55, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_3~numtaskslearned=7~tasknumber=3, RandSplitCIFAR100_3, 7, 0.9000, 0.9040
11-03-20_22:25:55, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_4~numtaskslearned=7~tasknumber=4, RandSplitCIFAR100_4, 7, 0.8420, 0.8540
11-03-20_22:25:56, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_5~numtaskslearned=7~tasknumber=5, RandSplitCIFAR100_5, 7, 0.9220, 0.9240
11-03-20_22:25:56, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_6~numtaskslearned=7~tasknumber=6, RandSplitCIFAR100_6, 7, 0.8740, 0.8800
