Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_23:52:55, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_0~numtaskslearned=15~tasknumber=0, RandSplitCIFAR100_0, 15, 0.7680, 0.7580
11-03-20_23:52:55, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_1~numtaskslearned=15~tasknumber=1, RandSplitCIFAR100_1, 15, 0.7960, 0.7860
11-03-20_23:52:56, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_2~numtaskslearned=15~tasknumber=2, RandSplitCIFAR100_2, 15, 0.8640, 0.8640
11-03-20_23:52:56, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_3~numtaskslearned=15~tasknumber=3, RandSplitCIFAR100_3, 15, 0.8740, 0.8820
11-03-20_23:52:57, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_4~numtaskslearned=15~tasknumber=4, RandSplitCIFAR100_4, 15, 0.8480, 0.8420
11-03-20_23:52:57, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_5~numtaskslearned=15~tasknumber=5, RandSplitCIFAR100_5, 15, 0.9060, 0.9080
11-03-20_23:52:57, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_6~numtaskslearned=15~tasknumber=6, RandSplitCIFAR100_6, 15, 0.8640, 0.8700
11-03-20_23:52:58, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_7~numtaskslearned=15~tasknumber=7, RandSplitCIFAR100_7, 15, 0.7080, 0.7060
11-03-20_23:52:58, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_8~numtaskslearned=15~tasknumber=8, RandSplitCIFAR100_8, 15, 0.8280, 0.8280
11-03-20_23:52:59, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_9~numtaskslearned=15~tasknumber=9, RandSplitCIFAR100_9, 15, 0.8220, 0.8260
11-03-20_23:52:59, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_10~numtaskslearned=15~tasknumber=10, RandSplitCIFAR100_10, 15, 0.8980, 0.9000
11-03-20_23:52:59, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_11~numtaskslearned=15~tasknumber=11, RandSplitCIFAR100_11, 15, 0.7480, 0.7540
11-03-20_23:53:00, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_12~numtaskslearned=15~tasknumber=12, RandSplitCIFAR100_12, 15, 0.8320, 0.8280
11-03-20_23:53:00, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_13~numtaskslearned=15~tasknumber=13, RandSplitCIFAR100_13, 15, 0.7900, 0.8000
11-03-20_23:53:01, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_14~numtaskslearned=15~tasknumber=14, RandSplitCIFAR100_14, 15, 0.7720, 0.7800
