Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-31-20_10:52:58, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_0~numtaskslearned=3~tasknumber=0, RandSplitCIFAR100_0, 3, 0.7100, 0.7160
10-31-20_10:52:58, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_1~numtaskslearned=3~tasknumber=1, RandSplitCIFAR100_1, 3, 0.7120, 0.7120
10-31-20_10:52:59, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_2~numtaskslearned=3~tasknumber=2, RandSplitCIFAR100_2, 3, 0.8220, 0.8280
