Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-12-20_20:25:01, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_0~numtaskslearned=20~tasknumber=0, RandSplitCIFAR100_0, 20, 0.7020, 0.7080
10-12-20_20:25:01, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_1~numtaskslearned=20~tasknumber=1, RandSplitCIFAR100_1, 20, 0.7500, 0.7540
10-12-20_20:25:01, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_2~numtaskslearned=20~tasknumber=2, RandSplitCIFAR100_2, 20, 0.8400, 0.8460
10-12-20_20:25:02, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_3~numtaskslearned=20~tasknumber=3, RandSplitCIFAR100_3, 20, 0.8180, 0.8020
10-12-20_20:25:02, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_4~numtaskslearned=20~tasknumber=4, RandSplitCIFAR100_4, 20, 0.8340, 0.8360
10-12-20_20:25:02, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_5~numtaskslearned=20~tasknumber=5, RandSplitCIFAR100_5, 20, 0.8960, 0.8800
10-12-20_20:25:03, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_6~numtaskslearned=20~tasknumber=6, RandSplitCIFAR100_6, 20, 0.8440, 0.8360
10-12-20_20:25:03, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_7~numtaskslearned=20~tasknumber=7, RandSplitCIFAR100_7, 20, 0.6900, 0.6840
10-12-20_20:25:03, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_8~numtaskslearned=20~tasknumber=8, RandSplitCIFAR100_8, 20, 0.7660, 0.7780
10-12-20_20:25:04, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_9~numtaskslearned=20~tasknumber=9, RandSplitCIFAR100_9, 20, 0.7220, 0.7180
10-12-20_20:25:04, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_10~numtaskslearned=20~tasknumber=10, RandSplitCIFAR100_10, 20, 0.8180, 0.8140
10-12-20_20:25:04, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_11~numtaskslearned=20~tasknumber=11, RandSplitCIFAR100_11, 20, 0.7340, 0.7360
10-12-20_20:25:05, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_12~numtaskslearned=20~tasknumber=12, RandSplitCIFAR100_12, 20, 0.7280, 0.7220
10-12-20_20:25:05, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_13~numtaskslearned=20~tasknumber=13, RandSplitCIFAR100_13, 20, 0.7440, 0.7500
10-12-20_20:25:05, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_14~numtaskslearned=20~tasknumber=14, RandSplitCIFAR100_14, 20, 0.7420, 0.7400
10-12-20_20:25:06, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_15~numtaskslearned=20~tasknumber=15, RandSplitCIFAR100_15, 20, 0.8500, 0.8340
10-12-20_20:25:06, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_16~numtaskslearned=20~tasknumber=16, RandSplitCIFAR100_16, 20, 0.7400, 0.7200
10-12-20_20:25:06, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_17~numtaskslearned=20~tasknumber=17, RandSplitCIFAR100_17, 20, 0.8260, 0.8180
10-12-20_20:25:07, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_18~numtaskslearned=20~tasknumber=18, RandSplitCIFAR100_18, 20, 0.8300, 0.8240
10-12-20_20:25:07, id=supsup~seed=0~sparsity=1~try=4~task=RandSplitCIFAR100_19~numtaskslearned=20~tasknumber=19, RandSplitCIFAR100_19, 20, 0.6920, 0.6920
