Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-31-20_10:30:06, id=supsup~seed=0~sparsity=4~try=6~task=RandSplitCIFAR100_0~numtaskslearned=3~tasknumber=0, RandSplitCIFAR100_0, 3, 0.8280, 0.8180
10-31-20_10:30:06, id=supsup~seed=0~sparsity=4~try=6~task=RandSplitCIFAR100_1~numtaskslearned=3~tasknumber=1, RandSplitCIFAR100_1, 3, 0.8080, 0.8040
10-31-20_10:30:07, id=supsup~seed=0~sparsity=4~try=6~task=RandSplitCIFAR100_2~numtaskslearned=3~tasknumber=2, RandSplitCIFAR100_2, 3, 0.8740, 0.8660
