Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_20:14:41, id=supsup~seed=0~sparsity=1~try=0~task=RandSplitCIFAR100_0~numtaskslearned=7~tasknumber=0, RandSplitCIFAR100_0, 7, 0.7200, 0.7140
11-03-20_20:14:41, id=supsup~seed=0~sparsity=1~try=0~task=RandSplitCIFAR100_1~numtaskslearned=7~tasknumber=1, RandSplitCIFAR100_1, 7, 0.7340, 0.7240
11-03-20_20:14:42, id=supsup~seed=0~sparsity=1~try=0~task=RandSplitCIFAR100_2~numtaskslearned=7~tasknumber=2, RandSplitCIFAR100_2, 7, 0.8380, 0.8400
11-03-20_20:14:42, id=supsup~seed=0~sparsity=1~try=0~task=RandSplitCIFAR100_3~numtaskslearned=7~tasknumber=3, RandSplitCIFAR100_3, 7, 0.8080, 0.8000
11-03-20_20:14:42, id=supsup~seed=0~sparsity=1~try=0~task=RandSplitCIFAR100_4~numtaskslearned=7~tasknumber=4, RandSplitCIFAR100_4, 7, 0.7860, 0.8040
11-03-20_20:14:43, id=supsup~seed=0~sparsity=1~try=0~task=RandSplitCIFAR100_5~numtaskslearned=7~tasknumber=5, RandSplitCIFAR100_5, 7, 0.8520, 0.8600
11-03-20_20:14:43, id=supsup~seed=0~sparsity=1~try=0~task=RandSplitCIFAR100_6~numtaskslearned=7~tasknumber=6, RandSplitCIFAR100_6, 7, 0.8220, 0.8100
