Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-04-20_00:32:02, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_0~numtaskslearned=10~tasknumber=0, RandSplitCIFAR100_0, 10, 0.8440, 0.8360
11-04-20_00:32:02, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_1~numtaskslearned=10~tasknumber=1, RandSplitCIFAR100_1, 10, 0.8000, 0.7980
11-04-20_00:32:02, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_2~numtaskslearned=10~tasknumber=2, RandSplitCIFAR100_2, 10, 0.8960, 0.8840
11-04-20_00:32:02, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_3~numtaskslearned=10~tasknumber=3, RandSplitCIFAR100_3, 10, 0.9120, 0.9080
11-04-20_00:32:03, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_4~numtaskslearned=10~tasknumber=4, RandSplitCIFAR100_4, 10, 0.8660, 0.8660
11-04-20_00:32:03, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_5~numtaskslearned=10~tasknumber=5, RandSplitCIFAR100_5, 10, 0.9400, 0.9400
11-04-20_00:32:03, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_6~numtaskslearned=10~tasknumber=6, RandSplitCIFAR100_6, 10, 0.9020, 0.8900
11-04-20_00:32:03, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_7~numtaskslearned=10~tasknumber=7, RandSplitCIFAR100_7, 10, 0.7840, 0.7800
11-04-20_00:32:04, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_8~numtaskslearned=10~tasknumber=8, RandSplitCIFAR100_8, 10, 0.8860, 0.8880
11-04-20_00:32:04, id=supsup~seed=0~sparsity=32~try=0~task=RandSplitCIFAR100_9~numtaskslearned=10~tasknumber=9, RandSplitCIFAR100_9, 10, 0.8780, 0.8900
