Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-31-20_10:12:23, id=supsup~seed=0~sparsity=2~try=7~task=RandSplitCIFAR100_0~numtaskslearned=3~tasknumber=0, RandSplitCIFAR100_0, 3, 0.7700, 0.7720
10-31-20_10:12:24, id=supsup~seed=0~sparsity=2~try=7~task=RandSplitCIFAR100_1~numtaskslearned=3~tasknumber=1, RandSplitCIFAR100_1, 3, 0.7740, 0.7580
10-31-20_10:12:24, id=supsup~seed=0~sparsity=2~try=7~task=RandSplitCIFAR100_2~numtaskslearned=3~tasknumber=2, RandSplitCIFAR100_2, 3, 0.8680, 0.8600
