Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-21-20_21:36:56, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_0~numtaskslearned=20~tasknumber=0, RandSplitCIFAR100_0, 20, 0.8400, 0.8380
10-21-20_21:36:56, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_1~numtaskslearned=20~tasknumber=1, RandSplitCIFAR100_1, 20, 0.7940, 0.7980
10-21-20_21:36:57, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_2~numtaskslearned=20~tasknumber=2, RandSplitCIFAR100_2, 20, 0.9000, 0.8920
10-21-20_21:36:57, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_3~numtaskslearned=20~tasknumber=3, RandSplitCIFAR100_3, 20, 0.9140, 0.9160
10-21-20_21:36:58, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_4~numtaskslearned=20~tasknumber=4, RandSplitCIFAR100_4, 20, 0.8420, 0.8360
10-21-20_21:36:59, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_5~numtaskslearned=20~tasknumber=5, RandSplitCIFAR100_5, 20, 0.9440, 0.9420
10-21-20_21:37:00, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_6~numtaskslearned=20~tasknumber=6, RandSplitCIFAR100_6, 20, 0.8960, 0.8920
10-21-20_21:37:01, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_7~numtaskslearned=20~tasknumber=7, RandSplitCIFAR100_7, 20, 0.7680, 0.7640
10-21-20_21:37:01, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_8~numtaskslearned=20~tasknumber=8, RandSplitCIFAR100_8, 20, 0.8580, 0.8780
10-21-20_21:37:02, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_9~numtaskslearned=20~tasknumber=9, RandSplitCIFAR100_9, 20, 0.8640, 0.8600
10-21-20_21:37:03, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_10~numtaskslearned=20~tasknumber=10, RandSplitCIFAR100_10, 20, 0.9360, 0.9180
10-21-20_21:37:03, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_11~numtaskslearned=20~tasknumber=11, RandSplitCIFAR100_11, 20, 0.7760, 0.7740
10-21-20_21:37:04, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_12~numtaskslearned=20~tasknumber=12, RandSplitCIFAR100_12, 20, 0.8760, 0.8680
10-21-20_21:37:05, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_13~numtaskslearned=20~tasknumber=13, RandSplitCIFAR100_13, 20, 0.8380, 0.8360
10-21-20_21:37:05, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_14~numtaskslearned=20~tasknumber=14, RandSplitCIFAR100_14, 20, 0.8360, 0.8480
10-21-20_21:37:06, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_15~numtaskslearned=20~tasknumber=15, RandSplitCIFAR100_15, 20, 0.8800, 0.8820
10-21-20_21:37:07, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_16~numtaskslearned=20~tasknumber=16, RandSplitCIFAR100_16, 20, 0.8600, 0.8440
10-21-20_21:37:07, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_17~numtaskslearned=20~tasknumber=17, RandSplitCIFAR100_17, 20, 0.8920, 0.8880
10-21-20_21:37:08, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_18~numtaskslearned=20~tasknumber=18, RandSplitCIFAR100_18, 20, 0.8920, 0.9020
10-21-20_21:37:09, id=supsup~seed=0~sparsity=8~try=6~task=RandSplitCIFAR100_19~numtaskslearned=20~tasknumber=19, RandSplitCIFAR100_19, 20, 0.7460, 0.7680
