,ID,exp_no,seed_val,sparsity,task,epochno,train_loss,test_loss,accuracy,num_masks,seed_model
0,basis-supsup,0,0,1,0,1,1.605003,1.6096,0.2,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
1,basis-supsup,0,0,1,0,2,1.591351,1.6104,0.2,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
2,basis-supsup,0,0,1,0,3,1.580396,1.6084,0.2,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
3,basis-supsup,0,0,1,0,4,1.557649,1.601,0.23,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
4,basis-supsup,0,0,1,0,5,1.560315,1.5376,0.336,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
5,basis-supsup,0,0,1,0,6,1.507255,1.5048,0.346,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
6,basis-supsup,0,0,1,0,7,1.488961,1.4879,0.374,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
7,basis-supsup,0,0,1,0,8,1.486213,1.4721,0.382,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
8,basis-supsup,0,0,1,0,9,1.463852,1.4509,0.412,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
9,basis-supsup,0,0,1,0,10,1.48858,1.4332,0.412,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
10,basis-supsup,0,0,1,0,11,1.42027,1.407,0.43,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
11,basis-supsup,0,0,1,0,12,1.463443,1.3951,0.434,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
12,basis-supsup,0,0,1,0,13,1.387563,1.3962,0.416,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
13,basis-supsup,0,0,1,0,14,1.359686,1.3796,0.442,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
14,basis-supsup,0,0,1,0,15,1.428158,1.3619,0.44,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
15,basis-supsup,0,0,1,0,16,1.392825,1.3544,0.462,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
16,basis-supsup,0,0,1,0,17,1.320859,1.3522,0.446,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
17,basis-supsup,0,0,1,0,18,1.370385,1.3579,0.448,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
18,basis-supsup,0,0,1,0,19,1.397671,1.3449,0.442,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
19,basis-supsup,0,0,1,0,20,1.372816,1.334,0.466,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
20,basis-supsup,0,0,1,0,21,1.399958,1.3314,0.456,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
21,basis-supsup,0,0,1,0,22,1.400038,1.3281,0.452,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
22,basis-supsup,0,0,1,0,23,1.361367,1.3203,0.454,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
23,basis-supsup,0,0,1,0,24,1.365644,1.3203,0.47,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
24,basis-supsup,0,0,1,0,25,1.297483,1.3183,0.46,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
25,basis-supsup,0,0,1,0,26,1.401217,1.3133,0.454,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
26,basis-supsup,0,0,1,0,27,1.29088,1.3062,0.464,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
27,basis-supsup,0,0,1,0,28,1.263986,1.3034,0.46,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
28,basis-supsup,0,0,1,0,29,1.357823,1.2931,0.49,10,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_10/id=supsup~seed=0~sparsity=1~try=0//final.pt
