Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_23:39:40, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_0~numtaskslearned=10~tasknumber=0, RandSplitCIFAR100_0, 10, 0.8540, 0.8580
11-03-20_23:39:40, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_1~numtaskslearned=10~tasknumber=1, RandSplitCIFAR100_1, 10, 0.8040, 0.8080
11-03-20_23:39:40, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_2~numtaskslearned=10~tasknumber=2, RandSplitCIFAR100_2, 10, 0.9040, 0.8920
11-03-20_23:39:40, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_3~numtaskslearned=10~tasknumber=3, RandSplitCIFAR100_3, 10, 0.8940, 0.9080
11-03-20_23:39:41, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_4~numtaskslearned=10~tasknumber=4, RandSplitCIFAR100_4, 10, 0.8520, 0.8580
11-03-20_23:39:41, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_5~numtaskslearned=10~tasknumber=5, RandSplitCIFAR100_5, 10, 0.9460, 0.9380
11-03-20_23:39:41, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_6~numtaskslearned=10~tasknumber=6, RandSplitCIFAR100_6, 10, 0.9040, 0.8940
11-03-20_23:39:41, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_7~numtaskslearned=10~tasknumber=7, RandSplitCIFAR100_7, 10, 0.7620, 0.7580
11-03-20_23:39:42, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_8~numtaskslearned=10~tasknumber=8, RandSplitCIFAR100_8, 10, 0.8980, 0.8860
11-03-20_23:39:42, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_9~numtaskslearned=10~tasknumber=9, RandSplitCIFAR100_9, 10, 0.8780, 0.8820
