Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_21:20:21, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_0~numtaskslearned=7~tasknumber=0, RandSplitCIFAR100_0, 7, 0.8040, 0.8040
11-03-20_21:20:21, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_1~numtaskslearned=7~tasknumber=1, RandSplitCIFAR100_1, 7, 0.8020, 0.7820
11-03-20_21:20:22, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_2~numtaskslearned=7~tasknumber=2, RandSplitCIFAR100_2, 7, 0.8700, 0.8640
11-03-20_21:20:22, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_3~numtaskslearned=7~tasknumber=3, RandSplitCIFAR100_3, 7, 0.8780, 0.8740
11-03-20_21:20:23, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_4~numtaskslearned=7~tasknumber=4, RandSplitCIFAR100_4, 7, 0.8280, 0.8280
11-03-20_21:20:23, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_5~numtaskslearned=7~tasknumber=5, RandSplitCIFAR100_5, 7, 0.9120, 0.9240
11-03-20_21:20:23, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_6~numtaskslearned=7~tasknumber=6, RandSplitCIFAR100_6, 7, 0.8740, 0.8780
