Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_21:15:16, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_0~numtaskslearned=5~tasknumber=0, RandSplitCIFAR100_0, 5, 0.8060, 0.8080
11-03-20_21:15:17, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_1~numtaskslearned=5~tasknumber=1, RandSplitCIFAR100_1, 5, 0.8020, 0.7900
11-03-20_21:15:17, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_2~numtaskslearned=5~tasknumber=2, RandSplitCIFAR100_2, 5, 0.8740, 0.8740
11-03-20_21:15:18, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_3~numtaskslearned=5~tasknumber=3, RandSplitCIFAR100_3, 5, 0.9100, 0.9160
11-03-20_21:15:18, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_4~numtaskslearned=5~tasknumber=4, RandSplitCIFAR100_4, 5, 0.8480, 0.8460
