Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-04-20_00:42:33, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_0~numtaskslearned=7~tasknumber=0, RandSplitCIFAR100_0, 7, 0.8420, 0.8400
11-04-20_00:42:33, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_1~numtaskslearned=7~tasknumber=1, RandSplitCIFAR100_1, 7, 0.8000, 0.8000
11-04-20_00:42:34, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_2~numtaskslearned=7~tasknumber=2, RandSplitCIFAR100_2, 7, 0.9000, 0.8960
11-04-20_00:42:34, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_3~numtaskslearned=7~tasknumber=3, RandSplitCIFAR100_3, 7, 0.9160, 0.9340
11-04-20_00:42:35, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_4~numtaskslearned=7~tasknumber=4, RandSplitCIFAR100_4, 7, 0.8840, 0.8820
11-04-20_00:42:35, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_5~numtaskslearned=7~tasknumber=5, RandSplitCIFAR100_5, 7, 0.9560, 0.9540
11-04-20_00:42:35, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_6~numtaskslearned=7~tasknumber=6, RandSplitCIFAR100_6, 7, 0.9060, 0.9000
