Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_22:00:43, id=supsup~seed=0~sparsity=8~try=0~task=RandSplitCIFAR100_0~numtaskslearned=5~tasknumber=0, RandSplitCIFAR100_0, 5, 0.8340, 0.8320
11-03-20_22:00:43, id=supsup~seed=0~sparsity=8~try=0~task=RandSplitCIFAR100_1~numtaskslearned=5~tasknumber=1, RandSplitCIFAR100_1, 5, 0.8040, 0.7980
11-03-20_22:00:43, id=supsup~seed=0~sparsity=8~try=0~task=RandSplitCIFAR100_2~numtaskslearned=5~tasknumber=2, RandSplitCIFAR100_2, 5, 0.8860, 0.8920
11-03-20_22:00:44, id=supsup~seed=0~sparsity=8~try=0~task=RandSplitCIFAR100_3~numtaskslearned=5~tasknumber=3, RandSplitCIFAR100_3, 5, 0.9180, 0.9140
11-03-20_22:00:44, id=supsup~seed=0~sparsity=8~try=0~task=RandSplitCIFAR100_4~numtaskslearned=5~tasknumber=4, RandSplitCIFAR100_4, 5, 0.8600, 0.8440
