Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-21-20_18:18:45, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_0~numtaskslearned=20~tasknumber=0, RandSplitCIFAR100_0, 20, 0.8040, 0.8020
10-21-20_18:18:45, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_1~numtaskslearned=20~tasknumber=1, RandSplitCIFAR100_1, 20, 0.7840, 0.7840
10-21-20_18:18:46, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_2~numtaskslearned=20~tasknumber=2, RandSplitCIFAR100_2, 20, 0.8640, 0.8780
10-21-20_18:18:47, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_3~numtaskslearned=20~tasknumber=3, RandSplitCIFAR100_3, 20, 0.8980, 0.8880
10-21-20_18:18:47, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_4~numtaskslearned=20~tasknumber=4, RandSplitCIFAR100_4, 20, 0.8100, 0.8320
10-21-20_18:18:48, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_5~numtaskslearned=20~tasknumber=5, RandSplitCIFAR100_5, 20, 0.9120, 0.9200
10-21-20_18:18:49, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_6~numtaskslearned=20~tasknumber=6, RandSplitCIFAR100_6, 20, 0.8600, 0.8660
10-21-20_18:18:49, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_7~numtaskslearned=20~tasknumber=7, RandSplitCIFAR100_7, 20, 0.7000, 0.6960
10-21-20_18:18:50, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_8~numtaskslearned=20~tasknumber=8, RandSplitCIFAR100_8, 20, 0.8300, 0.8360
10-21-20_18:18:51, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_9~numtaskslearned=20~tasknumber=9, RandSplitCIFAR100_9, 20, 0.8180, 0.8100
10-21-20_18:18:52, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_10~numtaskslearned=20~tasknumber=10, RandSplitCIFAR100_10, 20, 0.9040, 0.9040
10-21-20_18:18:53, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_11~numtaskslearned=20~tasknumber=11, RandSplitCIFAR100_11, 20, 0.7820, 0.7860
10-21-20_18:18:53, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_12~numtaskslearned=20~tasknumber=12, RandSplitCIFAR100_12, 20, 0.7900, 0.7840
10-21-20_18:18:54, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_13~numtaskslearned=20~tasknumber=13, RandSplitCIFAR100_13, 20, 0.7820, 0.7960
10-21-20_18:18:55, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_14~numtaskslearned=20~tasknumber=14, RandSplitCIFAR100_14, 20, 0.7860, 0.7860
10-21-20_18:18:55, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_15~numtaskslearned=20~tasknumber=15, RandSplitCIFAR100_15, 20, 0.8860, 0.8640
10-21-20_18:18:56, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_16~numtaskslearned=20~tasknumber=16, RandSplitCIFAR100_16, 20, 0.7940, 0.7940
10-21-20_18:18:57, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_17~numtaskslearned=20~tasknumber=17, RandSplitCIFAR100_17, 20, 0.8820, 0.8880
10-21-20_18:18:57, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_18~numtaskslearned=20~tasknumber=18, RandSplitCIFAR100_18, 20, 0.8880, 0.8860
10-21-20_18:18:58, id=supsup~seed=0~sparsity=2~try=6~task=RandSplitCIFAR100_19~numtaskslearned=20~tasknumber=19, RandSplitCIFAR100_19, 20, 0.7260, 0.7520
